20200217,서울,14,0,3
20200217,부산,0,0,0
20200217,대구,0,0,0
20200217,인천,1,0,1
20200217,광주,2,0,0
20200217,대전,0,0,0
20200217,울산,0,0,0
20200217,세종,0,0,0
20200217,경기,11,0,4
20200217,강원,0,0,0
20200217,충북,0,0,0
20200217,충남,0,0,0
20200217,전북,1,0,1
20200217,전남,1,0,1
20200217,경북,0,0,0
20200217,경남,0,0,0
20200217,제주,0,0,0
20200217,검역,0,0,0
20200218,서울,0,0,0
20200218,부산,0,0,0
20200218,대구,1,0,0
20200218,인천,0,0,0
20200218,광주,0,0,0
20200218,대전,0,0,0
20200218,울산,0,0,0
20200218,세종,0,0,0
20200218,경기,0,0,2
20200218,강원,0,0,0
20200218,충북,0,0,0
20200218,충남,0,0,0
20200218,전북,0,0,0
20200218,전남,0,0,0
20200218,경북,0,0,0
20200218,경남,0,0,0
20200218,제주,0,0,0
20200218,검역,0,0,0
20200219,서울,1,0,2
20200219,부산,0,0,0
20200219,대구,15,0,0
20200219,인천,0,0,0
20200219,광주,0,0,2
20200219,대전,0,0,0
20200219,울산,0,0,0
20200219,세종,0,0,0
20200219,경기,1,0,0
20200219,강원,0,0,0
20200219,충북,0,0,0
20200219,충남,0,0,0
20200219,전북,0,0,0
20200219,전남,0,0,0
20200219,경북,3,0,0
20200219,경남,0,0,0
20200219,제주,0,0,0
20200219,검역,0,0,0
20200220,서울,7,0,0
20200220,부산,8,0,0
20200220,대구,14,0,0
20200220,인천,1,0,0
20200220,광주,1,0,0
20200220,대전,0,0,0
20200220,울산,0,0,0
20200220,세종,0,0,0
20200220,경기,0,0,0
20200220,강원,1,0,0
20200220,충북,0,0,0
20200220,충남,0,0,0
20200220,전북,0,0,0
20200220,전남,0,0,0
20200220,경북,22,1,0
20200220,경남,3,0,0
20200220,제주,0,0,0
20200220,검역,0,0,0
20200221,서울,5,0,1
20200221,부산,0,0,0
20200221,대구,80,0,0
20200221,인천,0,0,0
20200221,광주,0,0,0
20200221,대전,0,0,0
20200221,울산,0,0,0
20200221,세종,0,0,0
20200221,경기,2,0,0
20200221,강원,0,0,0
20200221,충북,1,0,0
20200221,충남,1,0,0
20200221,전북,1,0,0
20200221,전남,0,0,0
20200221,경북,3,0,0
20200221,경남,4,0,0
